sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
unbridled	{'Verb': ['remove the bridle from (a horse or mule'], 'Adjective': ['not restrained or controlled']}
unconscionable	{'Adjective': ['lacking a conscience', 'greatly exceeding bounds of reason or moderation']}
uncouth	{'Adjective': ['lacking refinement or cultivation or taste']}
undermined	{'Verb': ['destroy property or hinder normal operations', 'hollow out as if making a cave or opening']}
underscore	{'Noun': ['a line drawn underneath (especially under written matter'], 'Verb': ['give extra weight to (a communication', 'draw a line or lines underneath to call attention to']}
unflappable	{'Adjective': ['not easily perturbed or excited or upset; marked by extreme calm and composure']}
unilateral	{'Adjective': ['involving only one part or side', 'tracing descent from either the paternal or the maternal line only']}
unkempt	{'Adjective': ['not neatly combed', 'not properly maintained or cared for']}
unnerve	{'Verb': ['disturb the composure of']}
unpropitious	{'Adjective': ['not propitious']}
unqualified	{'Adjective': ['not limited or restricted', 'not meeting the proper standards and requirements and training', 'legally not qualified or sufficient', 'having no right or entitlement']}
unscrupulous	{'Adjective': ['without scruples or principles']}
unseemly	{'Adjective': ['not in keeping with accepted standards of what is right or proper in polite society']}
unwavering	{'Adjective': ['marked by firm determination or resolution; not shakable', 'not showing abrupt variations']}
unwieldy	{'Adjective': ['difficult to use or handle or manage because of size or weight or shape', 'difficult to work or manipulate', 'lacking grace in movement or posture']}
upend	{'Verb': ['become turned or set on end', 'set, turn, or stand on end']}
urbane	{'Adjective': ['showing a high degree of refinement and the assurance that comes from wide social experience']}
urbanity	{'Noun': ['polished courtesy; elegance of manner', 'the quality or character of life in a city or town']}
utilitarian	{'Noun': ['someone who believes that the value of a thing depends on its utility'], 'Adjective': ['having a useful function', 'having utility often to the exclusion of values']}
utopia	{'Noun': ['a book written by Sir Thomas More (1516', 'ideally perfect state; especially in its social and political and moral aspects', 'a work of fiction describing a utopia', 'an imaginary place considered to be perfect or ideal']}
vacillating	{'Verb': ['be undecided about something; waver between conflicting positions or courses of action', 'move or sway in a rising and falling or wavelike pattern'], 'Adjective': ['uncertain in purpose or action']}
vacuity	{'Noun': ['the absence of matter', 'a region that is devoid of matter', 'total lack of meaning or ideas']}
vainglorious	{'Adjective': ['feeling self-importance']}
vapid	{'Adjective': ['lacking taste or flavor or tang', 'lacking significance or liveliness or spirit or zest']}
variegated	{'Verb': ['change the appearance of, especially by marking with different colors', 'make something more diverse and varied'], 'Adjective': ['having a variety of colors']}
venal	{'Adjective': ['capable of being corrupted']}
venerability	{'Noun': ['the quality of deserving veneration']}
venerable	{'Adjective': ['impressive by reason of age', 'profoundly honored']}
venerate	{'Verb': ['regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of']}
veracity	{'Noun': ['unwillingness to tell lies']}
verdant	{'Adjective': ['characterized by abundance of verdure']}
verged	{'Verb': ['border on; come close to']}
verges	{'Noun': ['a region marking a boundary', 'the limit beyond which something happens or changes', 'a ceremonial or emblematic staff', 'a grass border along a road'], 'Verb': ['border on; come close to']}
verging	{'Verb': ['border on; come close to']}
veritable	{'Adjective': ['often used as intensifiers', 'not counterfeit or copied']}
vestigial	{'Adjective': ['not fully developed in mature animals']}
vexing	{'Verb': ['cause annoyance in; disturb, especially by minor irritations', 'disturb the peace of mind of; afflict with mental agitation or distress', 'change the arrangement or position of', 'subject to prolonged examination, discussion, or deliberation', 'be a mystery or bewildering to'], 'Adjective': ['extremely annoying or displeasing', 'causing irritation or annoyance']}
viable	{'Adjective': ['capable of being done with means at hand and circumstances as they are', 'capable of life or normal growth and development']}
vicissitude	{'Noun': ['a variation in circumstances or fortune at different times in your life or in the development of something', 'mutability in life or nature (especially successive alternation from one condition to another']}
vigorous	{'Adjective': ['characterized by forceful and energetic action or activity', 'strong and active physically or mentally']}
vindicated	{'Verb': ['show to be right by providing justification or proof', 'maintain, uphold, or defend', 'clear of accusation, blame, suspicion, or doubt with supporting proof'], 'Adjective': ['freed from any question of guilt']}
vindictiveness	{'Noun': ['a malevolent desire for revenge']}
virulence	{'Noun': ['extreme harmfulness (as the capacity of a microorganism to cause disease', 'extreme hostility']}
vitality	{'Noun': ['an energetic style', 'a healthy capacity for vigorous activity', '(biology', 'not physical or chemical', 'the property of being able to survive and grow']}
vitreous	{'Adjective': ['of or relating to or constituting the vitreous humor of the eye', 'relating to or resembling or derived from or containing glass', '(of ceramics']}
vituperations	{'Noun': ['abusive or venomous language used to express blame or censure or bitter deep-seated ill will']}
vivacious	{'Adjective': ['vigorous and animated']}
vociferous	{'Adjective': ['conspicuously and offensively loud; given to vehement outcry']}
volatile	{'Noun': ['a volatile substance; a substance that changes readily from solid or liquid to a vapor'], 'Adjective': ['evaporating readily at normal temperatures and pressures', 'liable to lead to sudden change or violence', 'marked by erratic changeableness in affections or attachments', 'tending to vary often or widely']}
vulgar	{'Adjective': ['lacking refinement or cultivation or taste', 'of or associated with the great masses of people', 'being or characteristic of or appropriate to everyday language', 'conspicuously and tastelessly indecent']}
wag	{'Noun': ['a witty amusing person who makes jokes', 'causing to move repeatedly from side to side'], 'Verb': ['move from side to side']}
waning	{'Noun': ['a gradual decrease in magnitude or extent'], 'Verb': ['grow smaller', 'become smaller', 'decrease in phase'], 'Adjective': ['(of the Moon']}
ward	"{'Noun': ['a person who is under the protection or in the custody of another', 'a district into which a city or town is divided for the purpose of administration and elections', 'block forming a division of a hospital (or a suite of rooms', 'English economist and conservationist (1914-1981', ""English writer of novels who was an active opponent of the women's suffrage movement (1851-1920"", 'United States businessman who in 1872 established a successful mail-order business (1843-1913', 'a division of a prison (usually consisting of several cells'], 'Verb': ['watch over or shield from danger or harm; protect']}"
wax	{'Noun': ['any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water'], 'Verb': ['cover with wax', 'go up or advance', 'increase in phase']}
whet	{'Verb': ['make keen or more acute', 'sharpen by rubbing, as on a whetstone']}
whimsical	{'Adjective': ['determined by chance or impulse or whim rather than by necessity or reason']}
whitewash	{'Noun': ['a defeat in which the losing person or team fails to score', 'wash consisting of lime and size in water; used for whitening walls and other surfaces', 'a specious or deceptive clearing that attempts to gloss over failings and defects'], 'Verb': ['cover up a misdemeanor, fault, or error', 'cover with whitewash', 'exonerate by means of a perfunctory investigation or through biased presentation of data']}
